theme,prompt,done
クオッカ省エネスタンプ１,"P1: ACTION/PROPS=""Wide smile with sparkling eyes, giving a thumbs up"" | TEXT=""了解""
P2: ACTION/PROPS=""Bowing deeply with a polite smile, hands pressed together"" | TEXT=""お疲れ様""
P3: ACTION/PROPS=""Overwhelmed with joy, tears of gratitude, bright expression"" | TEXT=""ありがとう""
P4: ACTION/PROPS=""Raising a hand in a cheerful wave with a big grin"" | TEXT=""おはよう""
P5: ACTION/PROPS=""Sleeping soundly with a bubble coming from the nose"" | TEXT=""おやすみ""
P6: ACTION/PROPS=""Waving both hands energetically with a huge smile"" | TEXT=""またね""
P7: ACTION/PROPS=""Giving a big thumbs up with a confident smirk"" | TEXT=""よろしく""
P8: ACTION/PROPS=""Looking shocked, jaw dropped, wide bulging eyes"" | TEXT=""まじで""
P9: ACTION/PROPS=""Tears of joy with a wide, happy mouth"" | TEXT=""うれしい""",1
クオッカ省エネスタンプ１,"P1: ACTION/PROPS=""Nodding vigorously, eyes closed with a satisfied grin"" | TEXT=""はい""
P2: ACTION/PROPS=""Shaking head side to side, hands out in refusal"" | TEXT=""いいえ""
P3: ACTION/PROPS=""Bowing with a polite, slightly shy smile"" | TEXT=""すみません""
P4: ACTION/PROPS=""Clapping hands enthusiastically, sparkling effects"" | TEXT=""おめでとう""
P5: ACTION/PROPS=""Saluting with a bright and energetic expression"" | TEXT=""了解です""
P6: ACTION/PROPS=""Looking exhausted, drooping shoulders, half-closed eyes"" | TEXT=""つかれた""
P7: ACTION/PROPS=""Winking playfully with a peace sign near the cheek"" | TEXT=""おっけー""
P8: ACTION/PROPS=""Tilting head with a large question mark prop"" | TEXT=""はてな""
P9: ACTION/PROPS=""Hands on cheeks, looking excited and leaning forward"" | TEXT=""わくわく""",
クオッカ省エネスタンプ１,"P1: ACTION/PROPS=""Smiling warmly while waving a small hand"" | TEXT=""おつかれ""
P2: ACTION/PROPS=""Eyes turning into hearts, holding a giant heart"" | TEXT=""だいすき""
P3: ACTION/PROPS=""Looking dejected, drooping head, dark shadow over eyes"" | TEXT=""ごめん""
P4: ACTION/PROPS=""Holding a cup of steaming tea, peaceful face"" | TEXT=""お茶しよ""
P5: ACTION/PROPS=""Giving a high five to the air, energetic face"" | TEXT=""いぇい""
P6: ACTION/PROPS=""Looking at a smartphone, laughing with a bright face"" | TEXT=""うける""
P7: ACTION/PROPS=""Determined expression, clenched fists, fiery eyes"" | TEXT=""がんばる""
P8: ACTION/PROPS=""Shocked expression, face turning pale blue"" | TEXT=""やばい""
